Common.Name,Latin.Name,A.not.B.Y.N,Cylinder.Y.N,Task,Score,Composite.Score,Sex,Age,Population,Subject
Asian elephant,Elephas maximus,Y,N,Cylinder.Task,NA,NA,F,3,Golden Triangle Asian Elephant Foundation,Am
Asian elephant,Elephas maximus,Y,N,Cylinder.Task,NA,NA,F,33,Golden Triangle Asian Elephant Foundation,Bo
Asian elephant,Elephas maximus,Y,N,Cylinder.Task,NA,NA,F,10,Golden Triangle Asian Elephant Foundation,NamFon
Asian elephant,Elephas maximus,Y,N,Cylinder.Task,NA,NA,M,10,Golden Triangle Asian Elephant Foundation,Pepsi
Asian elephant,Elephas maximus,Y,N,Cylinder.Task,NA,NA,F,16,Golden Triangle Asian Elephant Foundation,Ploy
Asian elephant,Elephas maximus,Y,N,Cylinder.Task,NA,NA,M,40,Golden Triangle Asian Elephant Foundation,Puki
Asian elephant,Elephas maximus,Y,N,Cylinder.Task,NA,NA,F,4,Golden Triangle Asian Elephant Foundation,TangMo
Asian elephant,Elephas maximus,Y,N,A.not.B.Task,0,NA,F,3,Golden Triangle Asian Elephant Foundation,Am
Asian elephant,Elephas maximus,Y,N,A.not.B.Task,0,NA,F,33,Golden Triangle Asian Elephant Foundation,Bo
Asian elephant,Elephas maximus,Y,N,A.not.B.Task,0,NA,F,10,Golden Triangle Asian Elephant Foundation,NamFon
Asian elephant,Elephas maximus,Y,N,A.not.B.Task,0,NA,M,10,Golden Triangle Asian Elephant Foundation,Pepsi
Asian elephant,Elephas maximus,Y,N,A.not.B.Task,0,NA,F,16,Golden Triangle Asian Elephant Foundation,Ploy
Asian elephant,Elephas maximus,Y,N,A.not.B.Task,0,NA,M,40,Golden Triangle Asian Elephant Foundation,Puki
Asian elephant,Elephas maximus,Y,N,A.not.B.Task,0,NA,F,4,Golden Triangle Asian Elephant Foundation,TangMo
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,F,5,Duke Lemur Center,Angelique
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,F,14,Duke Lemur Center,Ardrey
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,F,16,Duke Lemur Center,Caliban
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,M,5,Duke Lemur Center,Hitchcock
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,F,12,Duke Lemur Center,Kali
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,F,9,Duke Lemur Center,Lucrezia
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,F,6,Duke Lemur Center,Medea
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,M,16,Duke Lemur Center,Merlin
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,M,25,Duke Lemur Center,Nosferatu
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,M,24,Duke Lemur Center,Poe
aye aye,Daubentonia madagascariensis,N,Y,A.not.B.Task,NA,NA,F,5,Duke Lemur Center,Angelique
aye aye,Daubentonia madagascariensis,N,Y,A.not.B.Task,NA,NA,F,14,Duke Lemur Center,Ardrey
aye aye,Daubentonia madagascariensis,N,Y,A.not.B.Task,NA,NA,F,16,Duke Lemur Center,Caliban
aye aye,Daubentonia madagascariensis,N,Y,A.not.B.Task,NA,NA,M,5,Duke Lemur Center,Hitchcock
aye aye,Daubentonia madagascariensis,N,Y,A.not.B.Task,NA,NA,F,12,Duke Lemur Center,Kali
aye aye,Daubentonia madagascariensis,N,Y,A.not.B.Task,NA,NA,F,9,Duke Lemur Center,Lucrezia
aye aye,Daubentonia madagascariensis,N,Y,A.not.B.Task,NA,NA,F,6,Duke Lemur Center,Medea
aye aye,Daubentonia madagascariensis,N,Y,A.not.B.Task,NA,NA,M,16,Duke Lemur Center,Merlin
aye aye,Daubentonia madagascariensis,N,Y,A.not.B.Task,NA,NA,M,25,Duke Lemur Center,Nosferatu
aye aye,Daubentonia madagascariensis,N,Y,A.not.B.Task,NA,NA,M,24,Duke Lemur Center,Poe
black lemur,Eulemur macaco,Y,Y,Cylinder.Task,51,55.5,M,22,Duke Lemur Center,Barrymore
black lemur,Eulemur macaco,Y,N,Cylinder.Task,51,55.5,M,21,Duke Lemur Center,Deucalion
black lemur,Eulemur macaco,N,Y,Cylinder.Task,51,55.5,F,12,Duke Lemur Center,Foster
black lemur,Eulemur macaco,Y,Y,Cylinder.Task,51,55.5,F,18,Duke Lemur Center,Harlow
black lemur,Eulemur macaco,Y,N,Cylinder.Task,51,55.5,F,26,Duke Lemur Center,Harmonia
black lemur,Eulemur macaco,Y,Y,Cylinder.Task,51,55.5,M,26,Duke Lemur Center,Hesperus
black lemur,Eulemur macaco,Y,N,Cylinder.Task,51,55.5,M,14,Duke Lemur Center,Hopkins
black lemur,Eulemur macaco,Y,Y,Cylinder.Task,51,55.5,F,21,Duke Lemur Center,L'amour
black lemur,Eulemur macaco,Y,N,Cylinder.Task,51,55.5,F,26,Duke Lemur Center,Latona
black lemur,Eulemur macaco,N,Y,Cylinder.Task,51,55.5,M,17,Duke Lemur Center,Olivier
black lemur,Eulemur macaco,Y,Y,Cylinder.Task,51,55.5,M,9,Duke Lemur Center,Quinn
black lemur,Eulemur macaco,Y,Y,Cylinder.Task,51,55.5,M,18,Duke Lemur Center,Redford
black lemur,Eulemur macaco,N,Y,Cylinder.Task,51,55.5,M,9,Duke Lemur Center,Tarantino
black lemur,Eulemur macaco,N,Y,Cylinder.Task,51,55.5,M,20,Duke Lemur Center,Teucer
black lemur,Eulemur macaco,Y,Y,A.not.B.Task,60,55.5,M,22,Duke Lemur Center,Barrymore
black lemur,Eulemur macaco,Y,N,A.not.B.Task,60,55.5,M,21,Duke Lemur Center,Deucalion
black lemur,Eulemur macaco,N,Y,A.not.B.Task,60,55.5,F,12,Duke Lemur Center,Foster
black lemur,Eulemur macaco,Y,Y,A.not.B.Task,60,55.5,F,18,Duke Lemur Center,Harlow
black lemur,Eulemur macaco,Y,N,A.not.B.Task,60,55.5,F,26,Duke Lemur Center,Harmonia
black lemur,Eulemur macaco,Y,Y,A.not.B.Task,60,55.5,M,26,Duke Lemur Center,Hesperus
black lemur,Eulemur macaco,Y,N,A.not.B.Task,60,55.5,M,14,Duke Lemur Center,Hopkins
black lemur,Eulemur macaco,Y,Y,A.not.B.Task,60,55.5,F,21,Duke Lemur Center,L'amour
black lemur,Eulemur macaco,Y,N,A.not.B.Task,60,55.5,F,26,Duke Lemur Center,Latona
black lemur,Eulemur macaco,N,Y,A.not.B.Task,60,55.5,M,17,Duke Lemur Center,Olivier
black lemur,Eulemur macaco,Y,Y,A.not.B.Task,60,55.5,M,9,Duke Lemur Center,Quinn
black lemur,Eulemur macaco,Y,Y,A.not.B.Task,60,55.5,M,18,Duke Lemur Center,Redford
black lemur,Eulemur macaco,N,Y,A.not.B.Task,60,55.5,M,9,Duke Lemur Center,Tarantino
black lemur,Eulemur macaco,N,Y,A.not.B.Task,60,55.5,M,20,Duke Lemur Center,Teucer
bonobo,Pan paniscus,N,Y,Cylinder.Task,95,97.5,F,2,MPI - Leipzig,Fimi
bonobo,Pan paniscus,Y,Y,Cylinder.Task,95,97.5,M,28,MPI - Leipzig,Joey
bonobo,Pan paniscus,Y,Y,Cylinder.Task,95,97.5,M,14,MPI - Leipzig,Kuno
bonobo,Pan paniscus,Y,Y,Cylinder.Task,95,97.5,F,5,MPI - Leipzig,Luiza
bonobo,Pan paniscus,N,Y,Cylinder.Task,95,97.5,F,17,MPI - Leipzig,Ulindi
bonobo,Pan paniscus,N,Y,Cylinder.Task,95,97.5,F,13,MPI - Leipzig,Yasa
bonobo,Pan paniscus,Y,N,Cylinder.Task,95,97.5,M,14,MPI-Leipzig,Limbuko
bonobo,Pan paniscus,N,Y,A.not.B.Task,100,97.5,F,2,MPI - Leipzig,Fimi
bonobo,Pan paniscus,Y,Y,A.not.B.Task,100,97.5,M,28,MPI - Leipzig,Joey
bonobo,Pan paniscus,Y,Y,A.not.B.Task,100,97.5,M,14,MPI - Leipzig,Kuno
bonobo,Pan paniscus,Y,Y,A.not.B.Task,100,97.5,F,5,MPI - Leipzig,Luiza
bonobo,Pan paniscus,N,Y,A.not.B.Task,100,97.5,F,17,MPI - Leipzig,Ulindi
bonobo,Pan paniscus,N,Y,A.not.B.Task,100,97.5,F,13,MPI - Leipzig,Yasa
bonobo,Pan paniscus,Y,N,A.not.B.Task,100,97.5,M,14,MPI-Leipzig,Limbuko
brown lemur,Eulemur fulvus,N,Y,Cylinder.Task,43.3,NA,M,29,Duke Lemur Center,Alphonse
brown lemur,Eulemur fulvus,N,Y,Cylinder.Task,43.3,NA,M,27,Duke Lemur Center,Fiery
brown lemur,Eulemur fulvus,N,Y,Cylinder.Task,43.3,NA,F,25,Duke Lemur Center,Francoise
brown lemur,Eulemur fulvus,N,Y,Cylinder.Task,43.3,NA,F,26,Duke Lemur Center,Frigga
brown lemur,Eulemur fulvus,N,Y,Cylinder.Task,43.3,NA,F,21,Duke Lemur Center,Geraldine
brown lemur,Eulemur fulvus,N,Y,Cylinder.Task,43.3,NA,M,22,Duke Lemur Center,Giscard
brown lemur,Eulemur fulvus,N,Y,Cylinder.Task,43.3,NA,M,23,Duke Lemur Center,Jules
brown lemur,Eulemur fulvus,N,Y,Cylinder.Task,43.3,NA,M,23,Duke Lemur Center,Kish
brown lemur,Eulemur fulvus,N,Y,Cylinder.Task,43.3,NA,F,23,Duke Lemur Center,Martine
brown lemur,Eulemur fulvus,N,Y,Cylinder.Task,43.3,NA,F,15,Duke Lemur Center,Wizard
brown lemur,Eulemur fulvus,N,Y,A.not.B.Task,NA,NA,M,29,Duke Lemur Center,Alphonse
brown lemur,Eulemur fulvus,N,Y,A.not.B.Task,NA,NA,M,27,Duke Lemur Center,Fiery
brown lemur,Eulemur fulvus,N,Y,A.not.B.Task,NA,NA,F,25,Duke Lemur Center,Francoise
brown lemur,Eulemur fulvus,N,Y,A.not.B.Task,NA,NA,F,26,Duke Lemur Center,Frigga
brown lemur,Eulemur fulvus,N,Y,A.not.B.Task,NA,NA,F,21,Duke Lemur Center,Geraldine
brown lemur,Eulemur fulvus,N,Y,A.not.B.Task,NA,NA,M,22,Duke Lemur Center,Giscard
brown lemur,Eulemur fulvus,N,Y,A.not.B.Task,NA,NA,M,23,Duke Lemur Center,Jules
brown lemur,Eulemur fulvus,N,Y,A.not.B.Task,NA,NA,M,23,Duke Lemur Center,Kish
brown lemur,Eulemur fulvus,N,Y,A.not.B.Task,NA,NA,F,23,Duke Lemur Center,Martine
brown lemur,Eulemur fulvus,N,Y,A.not.B.Task,NA,NA,F,15,Duke Lemur Center,Wizard
capuchin monkey,Cebus apella,Y,N,Cylinder.Task,95.9,91.1,F,22,ISTC-CNR Primate Centre,Brahms
capuchin monkey,Cebus apella,N,Y,Cylinder.Task,95.9,91.1,M,32,ISTC-CNR Primate Centre,Cammello
capuchin monkey,Cebus apella,N,Y,Cylinder.Task,95.9,91.1,F,27,ISTC-CNR Primate Centre,Carlotta
capuchin monkey,Cebus apella,Y,N,Cylinder.Task,95.9,91.1,M,17,ISTC-CNR Primate Centre,Cognac
capuchin monkey,Cebus apella,Y,N,Cylinder.Task,95.9,91.1,F,8,ISTC-CNR Primate Centre,Pandora
capuchin monkey,Cebus apella,Y,N,Cylinder.Task,95.9,91.1,F,10,ISTC-CNR Primate Centre,Panna
capuchin monkey,Cebus apella,N,Y,Cylinder.Task,95.9,91.1,F,21,ISTC-CNR Primate Centre,Paprica
capuchin monkey,Cebus apella,Y,N,Cylinder.Task,95.9,91.1,M,13,ISTC-CNR Primate Centre,Patè
capuchin monkey,Cebus apella,Y,Y,Cylinder.Task,95.9,91.1,M,"3(a), 9(b)",ISTC-CNR Primate Centre,Pedro
capuchin monkey,Cebus apella,Y,N,Cylinder.Task,95.9,91.1,F,5,ISTC-CNR Primate Centre,Penelope
capuchin monkey,Cebus apella,Y,N,Cylinder.Task,95.9,91.1,M,17,ISTC-CNR Primate Centre,Pepe
capuchin monkey,Cebus apella,Y,N,Cylinder.Task,95.9,91.1,F,23,ISTC-CNR Primate Centre,Pippi
capuchin monkey,Cebus apella,Y,N,Cylinder.Task,95.9,91.1,F,adult,ISTC-CNR Primate Centre,Punk
capuchin monkey,Cebus apella,N,Y,Cylinder.Task,95.9,91.1,F,23,ISTC-CNR Primate Centre,Rame
capuchin monkey,Cebus apella,N,Y,Cylinder.Task,95.9,91.1,F,24,ISTC-CNR Primate Centre,Roberta
capuchin monkey,Cebus apella,Y,Y,Cylinder.Task,95.9,91.1,M,"7(a), 13(b)",ISTC-CNR Primate Centre,Robin Hood
capuchin monkey,Cebus apella,Y,Y,Cylinder.Task,95.9,91.1,F,"11(a), 17(b)",ISTC-CNR Primate Centre,Robinia
capuchin monkey,Cebus apella,Y,Y,Cylinder.Task,95.9,91.1,M,"9(a), 14(b)",ISTC-CNR Primate Centre,Robot
capuchin monkey,Cebus apella,Y,N,Cylinder.Task,95.9,91.1,M,adult,ISTC-CNR Primate Centre,Rosso
capuchin monkey,Cebus apella,N,Y,Cylinder.Task,95.9,91.1,M,8,ISTC-CNR Primate Centre,Rubens
capuchin monkey,Cebus apella,Y,N,Cylinder.Task,95.9,91.1,F,4,ISTC-CNR Primate Centre,Rucola
capuchin monkey,Cebus apella,N,Y,Cylinder.Task,95.9,91.1,F,9,ISTC-CNR Primate Centre,Saroma
capuchin monkey,Cebus apella,Y,N,Cylinder.Task,95.9,91.1,M,adult,ISTC-CNR Primate Centre,Viola
capuchin monkey,Cebus apella,N,Y,Cylinder.Task,95.9,91.1,F,11,ISTC-CNR Primate Centre,Virginia
capuchin monkey,Cebus apella,Y,N,Cylinder.Task,95.9,91.1,M,4,ISTC-CNR Primate Centre,Vispo
capuchin monkey,Cebus apella,Y,N,Cylinder.Task,95.9,91.1,M,adult,ISTC-CNR Primate Centre,Zapotec
capuchin monkey,Cebus apella,Y,Y,Cylinder.Task,95.9,91.1,M,16,Yale University,AG
capuchin monkey,Cebus apella,Y,Y,Cylinder.Task,95.9,91.1,M,5,Yale University,AH
capuchin monkey,Cebus apella,Y,Y,Cylinder.Task,95.9,91.1,M,15,Yale University,FL
capuchin monkey,Cebus apella,Y,Y,Cylinder.Task,95.9,91.1,F,3,Yale University,HB
capuchin monkey,Cebus apella,Y,Y,Cylinder.Task,95.9,91.1,F,11,Yale University,HG
capuchin monkey,Cebus apella,Y,Y,Cylinder.Task,95.9,91.1,F,6,Yale University,HR
capuchin monkey,Cebus apella,Y,Y,Cylinder.Task,95.9,91.1,F,15,Yale University,JM
capuchin monkey,Cebus apella,Y,Y,Cylinder.Task,95.9,91.1,F,10,Yale University,MD
capuchin monkey,Cebus apella,Y,Y,Cylinder.Task,95.9,91.1,F,4,Yale University,MP
capuchin monkey,Cebus apella,Y,Y,Cylinder.Task,95.9,91.1,M,16,Yale University,NN
capuchin monkey,Cebus apella,Y,N,A.not.B.Task,86.2,91.1,F,22,ISTC-CNR Primate Centre,Brahms
capuchin monkey,Cebus apella,N,Y,A.not.B.Task,86.2,91.1,M,32,ISTC-CNR Primate Centre,Cammello
capuchin monkey,Cebus apella,N,Y,A.not.B.Task,86.2,91.1,F,27,ISTC-CNR Primate Centre,Carlotta
capuchin monkey,Cebus apella,Y,N,A.not.B.Task,86.2,91.1,M,17,ISTC-CNR Primate Centre,Cognac
capuchin monkey,Cebus apella,Y,N,A.not.B.Task,86.2,91.1,F,8,ISTC-CNR Primate Centre,Pandora
capuchin monkey,Cebus apella,Y,N,A.not.B.Task,86.2,91.1,F,10,ISTC-CNR Primate Centre,Panna
capuchin monkey,Cebus apella,N,Y,A.not.B.Task,86.2,91.1,F,21,ISTC-CNR Primate Centre,Paprica
capuchin monkey,Cebus apella,Y,N,A.not.B.Task,86.2,91.1,M,13,ISTC-CNR Primate Centre,Patè
capuchin monkey,Cebus apella,Y,Y,A.not.B.Task,86.2,91.1,M,"3(a), 9(b)",ISTC-CNR Primate Centre,Pedro
capuchin monkey,Cebus apella,Y,N,A.not.B.Task,86.2,91.1,F,5,ISTC-CNR Primate Centre,Penelope
capuchin monkey,Cebus apella,Y,N,A.not.B.Task,86.2,91.1,M,17,ISTC-CNR Primate Centre,Pepe
capuchin monkey,Cebus apella,Y,N,A.not.B.Task,86.2,91.1,F,23,ISTC-CNR Primate Centre,Pippi
capuchin monkey,Cebus apella,Y,N,A.not.B.Task,86.2,91.1,F,adult,ISTC-CNR Primate Centre,Punk
capuchin monkey,Cebus apella,N,Y,A.not.B.Task,86.2,91.1,F,23,ISTC-CNR Primate Centre,Rame
capuchin monkey,Cebus apella,N,Y,A.not.B.Task,86.2,91.1,F,24,ISTC-CNR Primate Centre,Roberta
capuchin monkey,Cebus apella,Y,Y,A.not.B.Task,86.2,91.1,M,"7(a), 13(b)",ISTC-CNR Primate Centre,Robin Hood
capuchin monkey,Cebus apella,Y,Y,A.not.B.Task,86.2,91.1,F,"11(a), 17(b)",ISTC-CNR Primate Centre,Robinia
capuchin monkey,Cebus apella,Y,Y,A.not.B.Task,86.2,91.1,M,"9(a), 14(b)",ISTC-CNR Primate Centre,Robot
capuchin monkey,Cebus apella,Y,N,A.not.B.Task,86.2,91.1,M,adult,ISTC-CNR Primate Centre,Rosso
capuchin monkey,Cebus apella,N,Y,A.not.B.Task,86.2,91.1,M,8,ISTC-CNR Primate Centre,Rubens
capuchin monkey,Cebus apella,Y,N,A.not.B.Task,86.2,91.1,F,4,ISTC-CNR Primate Centre,Rucola
capuchin monkey,Cebus apella,N,Y,A.not.B.Task,86.2,91.1,F,9,ISTC-CNR Primate Centre,Saroma
capuchin monkey,Cebus apella,Y,N,A.not.B.Task,86.2,91.1,M,adult,ISTC-CNR Primate Centre,Viola
capuchin monkey,Cebus apella,N,Y,A.not.B.Task,86.2,91.1,F,11,ISTC-CNR Primate Centre,Virginia
capuchin monkey,Cebus apella,Y,N,A.not.B.Task,86.2,91.1,M,4,ISTC-CNR Primate Centre,Vispo
capuchin monkey,Cebus apella,Y,N,A.not.B.Task,86.2,91.1,M,adult,ISTC-CNR Primate Centre,Zapotec
capuchin monkey,Cebus apella,Y,Y,A.not.B.Task,86.2,91.1,M,16,Yale University,AG
capuchin monkey,Cebus apella,Y,Y,A.not.B.Task,86.2,91.1,M,5,Yale University,AH
capuchin monkey,Cebus apella,Y,Y,A.not.B.Task,86.2,91.1,M,15,Yale University,FL
capuchin monkey,Cebus apella,Y,Y,A.not.B.Task,86.2,91.1,F,3,Yale University,HB
capuchin monkey,Cebus apella,Y,Y,A.not.B.Task,86.2,91.1,F,11,Yale University,HG
capuchin monkey,Cebus apella,Y,Y,A.not.B.Task,86.2,91.1,F,6,Yale University,HR
capuchin monkey,Cebus apella,Y,Y,A.not.B.Task,86.2,91.1,F,15,Yale University,JM
capuchin monkey,Cebus apella,Y,Y,A.not.B.Task,86.2,91.1,F,10,Yale University,MD
capuchin monkey,Cebus apella,Y,Y,A.not.B.Task,86.2,91.1,F,4,Yale University,MP
capuchin monkey,Cebus apella,Y,Y,A.not.B.Task,86.2,91.1,M,16,Yale University,NN
chimpanzee,Pan troglodytes,N,Y,Cylinder.Task,100,93.3,M,10,MPI - Leipzig,Alex
chimpanzee,Pan troglodytes,N,Y,Cylinder.Task,100,93.3,F,11,MPI - Leipzig,Alexandra
chimpanzee,Pan troglodytes,Y,Y,Cylinder.Task,100,93.3,F,18,MPI - Leipzig,Fifi
chimpanzee,Pan troglodytes,Y,Y,Cylinder.Task,100,93.3,F,18,MPI - Leipzig,Jahaga
chimpanzee,Pan troglodytes,Y,Y,Cylinder.Task,100,93.3,F,18,MPI - Leipzig,Trudi
chimpanzee,Pan troglodytes,Y,N,Cylinder.Task,100,93.3,F,28,MPI-Leipzig,Fraukje
chimpanzee,Pan troglodytes,Y,N,Cylinder.Task,100,93.3,M,10,MPI-Leipzig,Frodo
chimpanzee,Pan troglodytes,Y,N,Cylinder.Task,100,93.3,F,6,MPI-Leipzig,Riet
chimpanzee,Pan troglodytes,Y,N,Cylinder.Task,100,93.3,F,11,MPI-Leipzig,Sandra
chimpanzee,Pan troglodytes,Y,N,Cylinder.Task,100,93.3,M,15,North Carolina Zoo,Jon
chimpanzee,Pan troglodytes,Y,N,Cylinder.Task,100,93.3,M,12,North Carolina Zoo,Kendall
chimpanzee,Pan troglodytes,Y,N,Cylinder.Task,100,93.3,M,10,North Carolina Zoo,Lance
chimpanzee,Pan troglodytes,Y,N,Cylinder.Task,100,93.3,F,38,North Carolina Zoo,Maggie
chimpanzee,Pan troglodytes,Y,N,Cylinder.Task,100,93.3,F,15,North Carolina Zoo,Ruby
chimpanzee,Pan troglodytes,Y,N,Cylinder.Task,100,93.3,F,40,North Carolina Zoo,Ruthie
chimpanzee,Pan troglodytes,Y,N,Cylinder.Task,100,93.3,M,10,North Carolina Zoo,Sakoto
chimpanzee,Pan troglodytes,Y,N,Cylinder.Task,100,93.3,F,42,North Carolina Zoo,Terry
chimpanzee,Pan troglodytes,N,Y,A.not.B.Task,86.7,93.3,M,10,MPI - Leipzig,Alex
chimpanzee,Pan troglodytes,N,Y,A.not.B.Task,86.7,93.3,F,11,MPI - Leipzig,Alexandra
chimpanzee,Pan troglodytes,Y,Y,A.not.B.Task,86.7,93.3,F,18,MPI - Leipzig,Fifi
chimpanzee,Pan troglodytes,Y,Y,A.not.B.Task,86.7,93.3,F,18,MPI - Leipzig,Jahaga
chimpanzee,Pan troglodytes,Y,Y,A.not.B.Task,86.7,93.3,F,18,MPI - Leipzig,Trudi
chimpanzee,Pan troglodytes,Y,N,A.not.B.Task,86.7,93.3,F,28,MPI-Leipzig,Fraukje
chimpanzee,Pan troglodytes,Y,N,A.not.B.Task,86.7,93.3,M,10,MPI-Leipzig,Frodo
chimpanzee,Pan troglodytes,Y,N,A.not.B.Task,86.7,93.3,F,6,MPI-Leipzig,Riet
chimpanzee,Pan troglodytes,Y,N,A.not.B.Task,86.7,93.3,F,11,MPI-Leipzig,Sandra
chimpanzee,Pan troglodytes,Y,N,A.not.B.Task,86.7,93.3,M,15,North Carolina Zoo,Jon
chimpanzee,Pan troglodytes,Y,N,A.not.B.Task,86.7,93.3,M,12,North Carolina Zoo,Kendall
chimpanzee,Pan troglodytes,Y,N,A.not.B.Task,86.7,93.3,M,10,North Carolina Zoo,Lance
chimpanzee,Pan troglodytes,Y,N,A.not.B.Task,86.7,93.3,F,38,North Carolina Zoo,Maggie
chimpanzee,Pan troglodytes,Y,N,A.not.B.Task,86.7,93.3,F,15,North Carolina Zoo,Ruby
chimpanzee,Pan troglodytes,Y,N,A.not.B.Task,86.7,93.3,F,40,North Carolina Zoo,Ruthie
chimpanzee,Pan troglodytes,Y,N,A.not.B.Task,86.7,93.3,M,10,North Carolina Zoo,Sakoto
chimpanzee,Pan troglodytes,Y,N,A.not.B.Task,86.7,93.3,F,42,North Carolina Zoo,Terry
Coquerel's sifaka,Propithecus coquereli,N,Y,Cylinder.Task,36.4,33.200000000000003,F,4,Duke Lemur Center,Anastasia
Coquerel's sifaka,Propithecus coquereli,N,Y,Cylinder.Task,36.4,33.200000000000003,F,10,Duke Lemur Center,Antonia
Coquerel's sifaka,Propithecus coquereli,Y,N,Cylinder.Task,36.4,33.200000000000003,M,9,Duke Lemur Center,Brutus
Coquerel's sifaka,Propithecus coquereli,Y,N,Cylinder.Task,36.4,33.200000000000003,F,17,Duke Lemur Center,Drusilla
Coquerel's sifaka,Propithecus coquereli,Y,Y,Cylinder.Task,36.4,33.200000000000003,M,14,Duke Lemur Center,Gordian
Coquerel's sifaka,Propithecus coquereli,N,Y,Cylinder.Task,36.4,33.200000000000003,M,6,Duke Lemur Center,Gratian
Coquerel's sifaka,Propithecus coquereli,N,Y,Cylinder.Task,36.4,33.200000000000003,M,4,Duke Lemur Center,Jovian
Coquerel's sifaka,Propithecus coquereli,Y,N,Cylinder.Task,36.4,33.200000000000003,M,17,Duke Lemur Center,Julian
Coquerel's sifaka,Propithecus coquereli,Y,Y,Cylinder.Task,36.4,33.200000000000003,M,5,Duke Lemur Center,Lucius
Coquerel's sifaka,Propithecus coquereli,Y,Y,Cylinder.Task,36.4,33.200000000000003,M,7,Duke Lemur Center,Marcus Aurelius
Coquerel's sifaka,Propithecus coquereli,Y,N,Cylinder.Task,36.4,33.200000000000003,M,2,Duke Lemur Center,Martin
Coquerel's sifaka,Propithecus coquereli,Y,Y,Cylinder.Task,36.4,33.200000000000003,F,2,Duke Lemur Center,Matilda
Coquerel's sifaka,Propithecus coquereli,N,Y,Cylinder.Task,36.4,33.200000000000003,F,9,Duke Lemur Center,Pia
Coquerel's sifaka,Propithecus coquereli,Y,N,Cylinder.Task,36.4,33.200000000000003,F,3,Duke Lemur Center,Rhodelina
Coquerel's sifaka,Propithecus coquereli,Y,N,Cylinder.Task,36.4,33.200000000000003,M,7,Duke Lemur Center,Theo
Coquerel's sifaka,Propithecus coquereli,N,Y,Cylinder.Task,36.4,33.200000000000003,M,21,Duke Lemur Center,Tiberius
Coquerel's sifaka,Propithecus coquereli,N,Y,A.not.B.Task,30,33.200000000000003,F,4,Duke Lemur Center,Anastasia
Coquerel's sifaka,Propithecus coquereli,N,Y,A.not.B.Task,30,33.200000000000003,F,10,Duke Lemur Center,Antonia
Coquerel's sifaka,Propithecus coquereli,Y,N,A.not.B.Task,30,33.200000000000003,M,9,Duke Lemur Center,Brutus
